Anatomical.entity.name;Anatomical.entity.ID
ESOPHAGUS MUCOSA;UBERON:0002469
EXTENSOR DIGITORUM COMMUNIS;UBERON:0007612
EXTENSOR DIGITORUM LATERALIS MUSCLE;UBERON:0007613
EYE;UBERON:0000970
EYEBALL OF CAMERA-TYPE EYE;UBERON:0010230
FALLOPIAN TUBE;UBERON:0003889
FIBROBLAST;CL:0000057
FLEXOR DIGITORUM PROFUNDUS;UBERON:0001523
FLEXOR DIGITORUM SUPERFICIALIS;UBERON:0003222
FLOOR PLATE OF DIENCEPHALON;UBERON:0003309
FOREBRAIN;UBERON:0001890
FORELIMB BUD;UBERON:0005417
FORELIMB SKIN;UBERON:0003531
FORNIX OF VAGINA;UBERON:0000051
FRONTAL CORTEX;UBERON:0001870
FRONTAL LOBE;UBERON:0016525
FUNDUS OF STOMACH;UBERON:0001160
FUSIFORM GYRUS;UBERON:0002766
GALL BLADDER;UBERON:0002110
GAMMA-DELTA T CELL;CL:0000798
GANGLIONIC EMINENCE;UBERON:0004023
GASTRIC LYMPH NODE;UBERON:0015863
GASTROCNEMIUS;UBERON:0001388
GASTROCNEMIUS LATERALIS;UBERON:0011908
GASTROCNEMIUS MEDIALIS;UBERON:0011907
GASTRULA;UBERON:0004734
GILL;UBERON:0002535
GIZZARD;UBERON:0005052
GLOBUS PALLIDUS;UBERON:0001875
GLUTEAL MUSCLE;UBERON:0002000
GLUTEUS MEDIUS;UBERON:0001371
GONAD;UBERON:0000991
GONADAL FAT PAD;UBERON:0003428
GRACILIS;UBERON:0000950
GRANULAR LAYER OF CEREBELLAR CORTEX;UBERON:0002956
GRANULOCYTE;CL:0000094
GRANULOSA CELL;CL:0000501
GREATER OMENTUM;UBERON:0005448
HAEMAL NODE;UBERON:0013119
HAIR FOLLICLE;UBERON:0002073
HEAD;UBERON:0000033
HEAD KIDNEY;UBERON:0007132
HEART;UBERON:0000948
HEART LEFT VENTRICLE;UBERON:0002084
HEART RIGHT VENTRICLE;UBERON:0002080
HINDBRAIN;UBERON:0002028
HINDLIMB BUD;UBERON:0005418
HINDLIMB MUSCLE;UBERON:0003663
HINDLIMB STYLOPOD;UBERON:0000376
HINDLIMB STYLOPOD MUSCLE;UBERON:0004252
HIPPOCAMPAL FORMATION;UBERON:0002421
HOOF;UBERON:0008963
HOOF LAMINA;UBERON:0008999
HORN;UBERON:0006967
HYPOTHALAMUS;UBERON:0001898
ILEOCECAL VALVE;UBERON:0000569
ILEOCOLIC LYMPH NODE;UBERON:0016378
ILEUM;UBERON:0002116
INFERIOR FRONTAL GYRUS;UBERON:0002998
INFERIOR OCCIPITAL GYRUS;UBERON:0014608
INFERIOR TEMPORAL GYRUS;UBERON:0002751
INFRASPINATUS MUSCLE;UBERON:0001477
INNER CELL MASS;UBERON:0000087
INNER LINING MUCOSA OF THE ABOMASUM;UBERON:0010154
INSULA;UBERON:0002022
INTERCOSTAL MUSCLE;UBERON:0001111
INTESTINE;UBERON:0000160
INTRAMUSCULAR ADIPOSE TISSUE;UBERON:0019143
INTRAPARIETAL SULCUS;UBERON:0002913
ISLET OF LANGERHANS;UBERON:0000006
ISTHMUS OF FALLOPIAN TUBE;UBERON:0016632
JEJUNUM;UBERON:0002115
KERATINOCYTE;CL:0000312
KIDNEY;UBERON:0002113
KIDNEY EPITHELIAL CELL;CL:0002518
LARGE INTESTINE;UBERON:0000059
LARVA;UBERON:0002548
LARYNGEAL CARTILAGE;UBERON:0001739
LATE EMBRYO;UBERON:0000323
LATERAL AMYGDALOID NUCLEUS;UBERON:0002886
LATERAL GANGLIONIC EMINENCE;UBERON:0004025
LATERAL NASAL PROMINENCE;UBERON:0004067
LATISSIMUS DORSI MUSCLE;UBERON:0001112
LAYER OF RETINA;UBERON:0001781
LAYER OF SYNOVIAL TISSUE;UBERON:0007616
LEFT ADRENAL GLAND;UBERON:0001234
LEFT ADRENAL GLAND CORTEX;UBERON:0035825
LEFT CARDIAC ATRIUM;UBERON:0002079
LEFT CORONARY ARTERY;UBERON:0001626
LEFT LOBE OF THYROID GLAND;UBERON:0001120
LEFT LUNG;UBERON:0002168
LEFT OVARY;UBERON:0002119
LEFT TESTIS;UBERON:0004533
LEFT UTERINE TUBE;UBERON:0001303
LENS OF CAMERA-TYPE EYE;UBERON:0000965
LEUKOCYTE;CL:0000738
LIGAMENT;UBERON:0000211
LIMB;UBERON:0002101
LIMB MUSCLE;UBERON:0003661
LINGUAL GYRUS;UBERON:0002943
LIP;UBERON:0001833
LIVER;UBERON:0002107
LIVER LEFT LATERAL LOBE;UBERON:0006727
LIVER PARENCHYMA;UBERON:0001280
LONGISSIMUS LUMBORUM MUSCLE;UBERON:0011219
LONGISSIMUS MUSCLE;UBERON:0000392
LONGISSIMUS THORACIS MUSCLE;UBERON:0001401
LOWER ESOPHAGUS;UBERON:0013473
LOWER ESOPHAGUS MUCOSA;UBERON:0035834
LOWER ESOPHAGUS MUSCULARIS LAYER;UBERON:0035833
LOWER LEG SKIN;UBERON:0004264
LUMBAR SPINAL CORD;UBERON:0002792
LUNG;UBERON:0002048
LYMPH NODE;UBERON:0000029
LYMPHOCYTE;CL:0000542
MACULA LUTEA;UBERON:0000053
MAJOR SALIVARY GLAND;UBERON:0001829
MAMMARY GLAND;UBERON:0001911
MAMMARY GLAND FAT;UBERON:0004180
MANDIBULAR PROMINENCE;UBERON:0005867
MASSETER MUSCLE;UBERON:0001597
MATERIAL ANATOMICAL ENTITY;UBERON:0000465
MATURE OVARIAN FOLLICLE;UBERON:0003982
MAXILLARY PROMINENCE;UBERON:0005868
MEDIAL GANGLIONIC EMINENCE;UBERON:0004024
MEDIAL NASAL PROMINENCE;UBERON:0004068
MEDIAL ORBITAL GYRUS;UBERON:0002570
MEDIAN EMINENCE OF NEUROHYPOPHYSIS;UBERON:0002197
MEDULLA OBLONGATA;UBERON:0001896
MESENTERIC LYMPH NODE;UBERON:0002509
MESONEPHROS;UBERON:0000080
METANEPHROS CORTEX;UBERON:0010533
MIDBRAIN;UBERON:0001891
MIDDLE FRONTAL GYRUS;UBERON:0002702
MILK;UBERON:0001913
MINOR SALIVARY GLAND;UBERON:0001830
MITRAL VALVE;UBERON:0002135
MONOCYTE;CL:0000576
MUCOSA OF STOMACH;UBERON:0001199
MUCOSA OF TRANSVERSE COLON;UBERON:0004991
MUCOSA OF URINARY BLADDER;UBERON:0001259
MULTICELLULAR ORGANISM;UBERON:0000468
MUSCLE LAYER OF SIGMOID COLON;UBERON:0035805
MUSCLE OF LEG;UBERON:0001383
MUSCLE TISSUE;UBERON:0002385
MYELOID CELL;CL:0000763
MYOMETRIUM;UBERON:0001296
NASAL CAVITY MUCOSA;UBERON:0001826
NASOPHARYNX;UBERON:0001728
NATURAL KILLER CELL;CL:0000623
NEOCORTEX;UBERON:0001950
NEPHRON;UBERON:0001285
NEURAL TUBE;UBERON:0001049
NEUROHYPOPHYSIS;UBERON:0002198
NEUTROPHIL;CL:0000775
NOSE;UBERON:0000004
NOSE SKIN;UBERON:0015476
NUCLEUS ACCUMBENS;UBERON:0001882
OCCIPITAL CORTEX;UBERON:0016540
OCCIPITAL LOBE;UBERON:0002021
OLFACTORY BULB;UBERON:0002264
OLFACTORY EPITHELIUM;UBERON:0001997
OLFACTORY SEGMENT OF NASAL MUCOSA;UBERON:0005386
OMASUM;UBERON:0007362
OMENTAL FAT PAD;UBERON:0010414
OMENTUM;UBERON:0003688
OOCYTE;CL:0000023
OVARIAN FOLLICLE;UBERON:0001305
OVARY;UBERON:0000992
OVIDUCT EPITHELIUM;UBERON:0004804
PANCREAS;UBERON:0001264
PAPILLARY LAYER OF DERMIS;UBERON:0001992
PARAHIPPOCAMPAL GYRUS;UBERON:0002973
PARENCHYMA OF MAMMARY GLAND;UBERON:0036245
PARIETAL CORTEX;UBERON:0016530
PECTORALIS MAJOR;UBERON:0002381
PECTORALIS MINOR;UBERON:0001100
PENIS;UBERON:0000989
PERIPHERAL REGION OF RETINA;UBERON:0013682
PEYER'S PATCH;UBERON:0001211
PHARYNGEAL GILL;UBERON:0000206
PHARYNGEAL TONSIL;UBERON:0001732
PIGMENT EPITHELIUM OF EYE;UBERON:0007625
PINEAL BODY;UBERON:0001905
PITUITARY GLAND;UBERON:0000007
PLACENTA;UBERON:0001987
PLACENTAL CARUNCLE;UBERON:0017259
PLACENTOME OF COTYLEDONARY PLACENTA;UBERON:0017258
PONS;UBERON:0000988
POPLITEAL ARTERY;UBERON:0002250
POPLITEAL LYMPH NODE;UBERON:0001543
POSTCENTRAL GYRUS;UBERON:0002581
POSTERIOR CINGULATE GYRUS;UBERON:0002740
PRECENTRAL GYRUS;UBERON:0002703
PRECUNEUS CORTEX;UBERON:0006093
PREFRONTAL CORTEX;UBERON:0000451
PREMOTOR CORTEX;UBERON:0016634
PRESCAPULAR LYMPH NODE;UBERON:0016382
PRIMARY CIRCULATORY ORGAN;UBERON:0007100
PRIMARY MOTOR CORTEX;UBERON:0001384
PRIMARY OOCYTE;CL:0000654
PRIMARY OVARIAN FOLLICLE;UBERON:0000035
PRIMARY VISUAL CORTEX;UBERON:0002436
PRIMORDIAL OVARIAN FOLLICLE;UBERON:0003981
PROSTATE GLAND;UBERON:0002367
PROVENTRICULUS;UBERON:0007357
PROXIMAL TUBULE;UBERON:0004134
PSOAS MAJOR MUSCLE;UBERON:0001298
PUTAMEN;UBERON:0001874
PYLORUS;UBERON:0001166
QUADRICEPS FEMORIS;UBERON:0001377
RECTUM;UBERON:0001052
RECTUS ABDOMINIS MUSCLE;UBERON:0002382
RECTUS FEMORIS;UBERON:0001378
RENAL MEDULLA;UBERON:0000362
RETICULAR LAYER OF DERMIS;UBERON:0001993
RETINA;UBERON:0000966
RETINAL NEURAL LAYER;UBERON:0003902
RETROPHARYNGEAL LYMPH NODE;UBERON:0015869
RHOMBOID;UBERON:0005621
RIGHT ADRENAL GLAND;UBERON:0001233
RIGHT ADRENAL GLAND CORTEX;UBERON:0035827
RIGHT ATRIUM AURICULAR REGION;UBERON:0006631
RIGHT CARDIAC ATRIUM;UBERON:0002078
RIGHT CORONARY ARTERY;UBERON:0001625
RIGHT FRONTAL LOBE;UBERON:0002810
RIGHT HEMISPHERE OF CEREBELLUM;UBERON:0014890
RIGHT KIDNEY;UBERON:0004539
RIGHT LOBE OF LIVER;UBERON:0001114
RIGHT LOBE OF THYROID GLAND;UBERON:0001119
RIGHT LUNG;UBERON:0002167
RIGHT OVARY;UBERON:0002118
RIGHT TESTIS;UBERON:0004534
RIGHT UTERINE TUBE;UBERON:0001302
RUMEN;UBERON:0007365
RUMEN EPITHELIUM;UBERON:0008285
RUMEN PAPILLA;UBERON:0010153
RUMINANT RETICULUM;UBERON:0007361
SALIVA-SECRETING GLAND;UBERON:0001044
SARTORIUS MUSCLE;UBERON:0001373
SCAPULAR MUSCLE;UBERON:0034908
SECONDARY MOLAR TOOTH;UBERON:0013618
SECONDARY OOCYTE;CL:0000655
SECONDARY OVARIAN FOLLICLE;UBERON:0000036
SEMEN;UBERON:0001968
SEMIMEMBRANOSUS MUSCLE;UBERON:0001381
SEMITENDINOSUS;UBERON:0001375
SIGMOID COLON;UBERON:0001159
SKELETAL MUSCLE TISSUE;UBERON:0001134
SKELETAL MUSCLE TISSUE OF BICEPS BRACHII;UBERON:0004502
SKELETAL MUSCLE TISSUE OF DELTOID;UBERON:0004500
SKIN OF ABDOMEN;UBERON:0001416
SKIN OF BACK;UBERON:0001068
SKIN OF BODY;UBERON:0002097
SKIN OF CHEST;UBERON:0001868
SKIN OF HIP;UBERON:0001554
SKIN OF LEG;UBERON:0001511
SKIN OF NECK;UBERON:0001417
SMALL INTESTINE;UBERON:0002108
SMALL INTESTINE PEYER'S PATCH;UBERON:0003454
SMOOTH MUSCLE TISSUE;UBERON:0001135
SOLEUS MUSCLE;UBERON:0001389
SPERM;CL:0000019
SPERMATID;CL:0000018
SPERMATOCYTE;CL:0000017
SPINAL CORD;UBERON:0002240
SPIRAL COLON;UBERON:0010239
SPLEEN;UBERON:0002106
SPLENIUS;UBERON:0002252
STOMACH;UBERON:0000945
STRIATUM;UBERON:0002435
STROMAL CELL OF ENDOMETRIUM;CL:0002255
SUBCUTANEOUS ABDOMINAL ADIPOSE TISSUE;UBERON:0014455
SUBCUTANEOUS ADIPOSE TISSUE;UBERON:0002190
SUBMANDIBULAR GLAND;UBERON:0001736
SUBMANDIBULAR LYMPH NODE;UBERON:0002520
SUBSCAPULARIS MUSCLE;UBERON:0001129
SUBSTANTIA NIGRA;UBERON:0002038
SUPERIOR FRONTAL GYRUS;UBERON:0002661
SUPERIOR OCCIPITAL GYRUS;UBERON:0002948
SUPERIOR PARIETAL CORTEX;UBERON:0006094
SUPERIOR TEMPORAL GYRUS;UBERON:0002769
SUPRASPINATUS MUSCLE;UBERON:0002383
SURAL NERVE;UBERON:0015488
SURFACE OF TONGUE;UBERON:0007367
SUSPENSORY LIGAMENT;UBERON:0008841
SWIM BLADDER;UBERON:0006860
SYNOVIAL MEMBRANE OF SYNOVIAL JOINT;UBERON:0002018
T CELL;CL:0000084
TAIL;UBERON:0002415
TAIL FAT PAD;UBERON:0018132
TELENCEPHALON;UBERON:0001893
TEMPORAL CORTEX;UBERON:0016538
TEMPORAL LOBE;UBERON:0001871
TENDON;UBERON:0000043
TENSOR FASCIAE LATAE MUSCLE;UBERON:0001376
TERES MAJOR MUSCLE;UBERON:0001478
TESTIS;UBERON:0000473
THECA CELL;CL:0000503
THORACIC AORTA;UBERON:0001515
THORACIC MAMMARY GLAND;UBERON:0005200
THORACIC PART OF ESOPHAGUS;UBERON:0035216
THYMUS;UBERON:0002370
THYROID GLAND;UBERON:0002046
TIBIAL ARTERY;UBERON:0007610
TIBIAL NERVE;UBERON:0001323
TIBIALIS ANTERIOR;UBERON:0001385
TIP OF EXTERNAL EAR;UBERON:1000017
TONGUE;UBERON:0001723
TONGUE MUSCLE;UBERON:0000378
TONSIL;UBERON:0002372
TRACHEA;UBERON:0003126
TRACHEOBRONCHIAL LYMPH NODE;UBERON:0015472
TRANSVERSE COLON;UBERON:0001157
TRANSVERSUS ABDOMINIS MUSCLE;UBERON:0001221
TRAPEZIUS MUSCLE;UBERON:0002380
TRICEPS BRACHII;UBERON:0001509
TRICUSPID VALVE;UBERON:0002134
TRIGEMINAL GANGLION;UBERON:0001675
TROPHECTODERM;UBERON:0004345
TROPHOBLAST;UBERON:0000088
UNDIFFERENTIATED GENITAL TUBERCLE;UBERON:0005876
UPPER LOBE OF LEFT LUNG;UBERON:0008952
URETER;UBERON:0000056
URETHRA;UBERON:0000057
URINARY BLADDER;UBERON:0001255
UROGENITAL SINUS EPITHELIUM;UBERON:0004902
UTERINE CERVIX;UBERON:0000002
UTERINE HORN;UBERON:0002247
UTERINE TUBE INFUNDIBULUM;UBERON:0003984
UTERUS;UBERON:0000995
VAGINA;UBERON:0000996
VAS DEFERENS;UBERON:0001000
VASTUS INTERMEDIUS;UBERON:0014847
VASTUS LATERALIS;UBERON:0001379
VASTUS MEDIALIS;UBERON:0001380
VENTRAL LATERAL SACROCAUDAL MUSCLE;UBERON:0011472
VENTRAL TEGMENTAL AREA;UBERON:0002691
VENTRICULAR ZONE;UBERON:0003053
VERMIFORM APPENDIX;UBERON:0001154
VESICULAR GLAND;UBERON:0007194
VOMERONASAL ORGAN;UBERON:0002255
WALL OF LEFT VENTRICLE;UBERON:0036285
WHITE ADIPOSE TISSUE;UBERON:0001347
WHITE MATTER OF FRONTAL LOBE;UBERON:0016528
YOLK SAC;UBERON:0001040
ZONE OF SKIN;UBERON:0000014
